timestamp,lat,long,acc
1505452626805, 47.5241291, 19.0723131, 12.692000389099121
1505452627869, 47.52412, 19.0723654, 10.925999641418457
1505452629283, 47.5241147, 19.0723963, 10
1505452630414, 47.5241355, 19.0724334, 10
1505452631859, 47.5241519, 19.0724666, 10
1505452633191, 47.5241893, 19.0724893, 10
1505452634155, 47.5242188, 19.0725072, 10
1505452635050, 47.5242461, 19.0725238, 10
1505452635379, 47.524268, 19.0725371, 10
1505452636192, 47.5242867, 19.0725485, 10
1505452637210, 47.5243022, 19.0725579, 10
1505452639126, 47.5243153, 19.0725659, 10
1505452640025, 47.5243264, 19.0725726, 10
